A,Greedy,DP,Slow
1,1,1,1
2,2,2,2
3,3,3,3
4,4,4,4
5,1,1,1
6,2,2,2
7,3,3,3
8,4,4,4
9,5,5,5
10,1,1,1
11,2,2,2
12,3,3,3
13,4,4,4
14,5,5,5
15,2,2,2
16,3,3,3
17,4,4,4
18,5,5,5
19,6,6,6
20,2,2,2
21,3,3,3
22,4,4,4
23,5,5,5
24,6,6,6
25,1,1,1
26,2,2,2
27,3,3,3
28,4,4,4
29,5,5,5
30,2,2,2
31,3,3,3
32,4,4,4
33,5,5,5
34,6,6,6
35,2,2,2
36,3,3,3
37,4,4,4
38,5,5,5
39,6,6,6
40,3,3,3
41,4,4,4
42,5,5,5
43,6,6,6
44,7,7,7
45,3,3,3
46,4,4,4
47,5,5,5
48,6,6,6
49,7,7,7
50,1,1,1
51,2,2,2
52,3,3,3
53,4,4,4
54,5,5,5
55,2,2,2
56,3,3,3
57,4,4,4
58,5,5,5
59,6,6,6
60,2,2,2
61,3,3,3
62,4,4,4
63,5,5,5
64,6,6,6
65,3,3,3
66,4,4,4
67,5,5,5
68,6,6,6
69,7,7,7
70,3,3,3
71,4,4,4
72,5,5,5
73,6,6,6
74,7,7,7
75,2,2,2
76,3,3,3
77,4,4,4
78,5,5,5
79,6,6,6
80,3,3,3
81,4,4,4
82,5,5,5
83,6,6,6
84,7,7,7
85,3,3,3
86,4,4,4
87,5,5,5
88,6,6,6
89,7,7,7
90,4,4,4
91,5,5,5
92,6,6,6
93,7,7,7
94,8,8,8
95,4,4,4
96,5,5,5
97,6,6,6
98,7,7,7
99,8,8,8
100,2,2,2
101,3,3,3
102,4,4,4
103,5,5,5
104,6,6,6
105,3,3,3
106,4,4,4
107,5,5,5
108,6,6,6
109,7,7,7
110,3,3,3
111,4,4,4
112,5,5,5
113,6,6,6
114,7,7,7
115,4,4,4
116,5,5,5
117,6,6,6
118,7,7,7
119,8,8,8
120,4,4,4
121,5,5,5
122,6,6,6
123,7,7,7
124,8,8,8
125,3,3,3
126,4,4,4
127,5,5,5
128,6,6,6
129,7,7,7
130,4,4,4
131,5,5,5
132,6,6,6
133,7,7,7
134,8,8,8
135,4,4,4
136,5,5,5
137,6,6,6
138,7,7,7
139,8,8,8
140,5,5,5
141,6,6,6
142,7,7,7
143,8,8,8
144,9,9,9
145,5,5,5
146,6,6,6
147,7,7,7
148,8,8,8
149,9,9,9
150,3,3,3
